Text,Sentiment,Emotion
'Ήπιος για σένα ο χαρακτηρισμός ήπιος και ο χρήστης δηλαδή εγώ',NEUTRAL,NO-EMOTION
'Καμία μόνη',NEGATIVE,SADNESS
'δεν πειράζει θα γράφουν στα σόσιαλ',NEGATIVE,DISGUST
'Νομική αναγνώριση του όρου γυναικοκτονία ΤΩΡΑ',NEGATIVE,ANGER
'Πήρε ένα πολυβόλο να την καθαρίσει',NEGATIVE,ANGER
'Χειρότεροι και απο τις μίσανδρες φεμινίστριες και εν δυνάμει ανδροκτόνες είναι οι αλληλέγγυοι pickme άνδρες',NEGATIVE,ANGER
'Ναι αν μία γυναίκα παντρεύεται σατράπη και υπομένει ξυλοδαρμούς και δεν κάνει τίποτα για αυτό δεν αντιδρά',NEGATIVE,ANGER
'Είχε 5 καταγγελίες?',NEGATIVE,SURPRISE
'Απο την άλλη κάτι Μαρκουλάκηδες που είχαν αποτραβηχτεί ξαναεπανήλθαν δυναμικά',NEGATIVE,DISGUST
'κατά τα άλλα metoo',NEGATIVE,ANGER
'Θα το ξαναπώ: Δεν είναι ένας και δύο είναι πολλοί και είναι πιο κοντά σας από ότι φαντάζεστε',NEGATIVE,FEAR
Oκ,NEUTRAL,NO-EMOTION
'Να βλέπεις αριστερούς δικαιωματιστές να ρίχνουν ψήφο στους πατριώτες πολύ γέλιο θα πέσει',POSITIVE,JOY
'μπορούσαμε να είχαμε άλλη μια γυναικοκτονία',NEGATIVE,FEAR
'Τι αγκαλιές και φιλιά ρε είναι αυτά;',NEGATIVE,DISGUST
'Χωρίς αδιάσειστες αποδείξεις καταστρέφουν ζωές και καριέρες πολλών αντρών🤬',NEGATIVE,ANGER
'αν είστε νευρικοί να απευθυνθείτε σε νευρολόγο',NEGATIVE,ANGER
'Αν ο Μητσοτάκης μιλούσε απαξιωτικά σε γυναίκα δημοσιογράφο και το έσκαγε',NEGATIVE,ANGER
'Ζούμε σε επικίνδυνες εποχές',NEGATIVE,FEAR
'Λυσάτε για ένα κίνημα που στην πραγματικότητα δεν έχει αλλάξει κάτι απλώς έχει αναδείξει το πρόβλημα',NEGATIVE,ANGER
'Για τα προσχήματα',NEUTRAL,NO-EMOTION
'Όλα τα φιλαράκια της Ζήνας🤣🤣🤣',POSITIVE,JOY
'Ως Ψεκασμένος Συνομοσιωλόγος που είμαι για μερικούς θα πω το εξής χωρίς στοιχεία αλλά σαν διαπίστωση',NEGATIVE,ANGER
'Τι νόμιζες μωρή μαλάκω',NEGATIVE,ANGER
'Πώς το ξέρεις;',NEUTRAL,NO-EMOTION
'Τι κάνει το φεμινιστικό κίνημα για αυτό;',NEGATIVE,ANGER
'Τίποτα καινούργιο',NEUTRAL,NO-EMOTION
'Μόνο αν είναι να αποκομίσουν πολιτικό όφελος',NEGATIVE,DISGUST
'Δεν βγάζεις άκρη με τους MeToo',NEGATIVE,ANGER
'Λυπούμεθα αλλά δεν θα υπάρξουν αντιδράσεις και διαμαρτυρίες από τις γνωστές οργανώσεις για τα δικαιώματα της γυναίκας',NEGATIVE,SADNESS
'Της αξίζει μια θέση στην Ευρωβουλή',POSITIVE,JOY
'γιατί μετά το metoo υπήρχε πλημμυρίδα καταγγελιών για ενδοοικογενειακή ενδοσυζυγική ενδόεργασιακή βία αν δεν ήταν αυτά τα περιστατικά που ήταν κατά κύριο λόγο ήταν underreported πριν;',NEUTRAL,NO-EMOTION
'Σταματήστε να βιάζεται λεκτικά ή ψυχολογικά',NEGATIVE,ANGER
'Υπάρχουν γυναίκες που μας λένε ότι υπερασπίζονται μόνο ωραίες ηθικές και ντυμένες γυναίκες',NEGATIVE,DISGUST
'Βοήθεια ',NEGATIVE,FEAR
'Έχω έτοιμο πανό για την αδερφή μας που μαχαιρώθηκε στην Ερμού',NEGATIVE,SADNESS
'αν ήξερε η Simone Biles τι είχε πει για τα metoo στον ελληνικό αθλητισμό θα του έριχνε μπουνιά',NEGATIVE,ANGER
'Οι μπάτσοι επιτρέπουν σε κολλητούς βιαστών να βοηθούν σε συλλήψεις για ξέπλυμα και εσείς αναρωτιέστε ακόμα γιατί η Γεωργία και η Γεωργία καταφεύγουν στο εξωτερικό για να δικαιωθούν',NEGATIVE,ANGER
'Ευτυχώς να λέμε που η Εισαγγελέας είπε τα αυτονόητα',POSITIVE,JOY
'Έχω όλο το δικαίωμα να αηδιάζω να  Ισλαμοφοβάμαι και να μην χαρακτηρίζομαι ρατσίστρια',NEGATIVE,DISGUST
'με την αφωνία τους για την μαστροπό Λορέλα ή όπως στον διάολο την λένε',NEGATIVE,ANGER
'Γνωρίζεις τα επίπεδα τεστοστερόνης τους;',NEGATIVE,DISGUST
'Δεν το ξέρεις εσύ ότι το μεγαλύτερο πρόβλημα στα εγκλήματα έμφυλης βίας είναι ότι δεν καταγγέλλονται?',NEGATIVE,ANGER
'Σοβαρές πηγές λέμε🤣🤣🤣',POSITIVE,JOY
'Με αυτό το αραπόσκυλο τι γίνεται?',NEGATIVE,ANGER
Ωραίος,POSITIVE,JOY
'Εδώ δεν έχει metoo λογικά',NEGATIVE,ANGER
'την έκαναν τσακωτή και συνέχιζε να ενοχλεί το παιδί',NEGATIVE,DISGUST
'Εκεί έχουμε αντιμετώπιση 60',NEGATIVE,ANGER
'Με κάτι τέτοια χάνει ισχύ και χλευάζεται το metoo',NEGATIVE,ANGER
'Ούτε ένα hashtag',NEGATIVE,DISGUST
'Μιλάμε για σιχάματα',NEGATIVE,DISGUST
'metoo με αφωνία στην Αριστερά',NEGATIVE,ANGER
'Αν είσαι ένα φτωχό 10χρονο από διαλυμένη οικογένεια είναι απλά Παρασκευή',NEGATIVE,SADNESS
'Δεν ξέρω αν ήταν λόγω Απόκρεων πάντως πρέπει να υπάρχουν και όρια',NEGATIVE,DISGUST
'Εντωμεταξύ διαδηλώνουν κάτι τέτοιες υπέρ των ανατολικών χωρών και τα αποτελέσματα είναι αυτά',NEGATIVE,ANGER
'ε ναι είναι μαζοχίστρια',NEGATIVE,DISGUST
'τι φόρεσε η άλλη',NEUTRAL,SURPRISE
'Μακάρι να είναι ένα πρώτο βήμα και να αρχίζει να ξεβρωμίζει η χώρα όπως έγινε με το MeToo',POSITIVE,JOY
'Πήξαμε στην αηδία',NEGATIVE,DISGUST
'Έχουμε γίνει πολύ δουλικά μου φαίνεται',NEGATIVE,ANGER
'Μιας και έκανε την αρχή ας κάνει και το φινάλε',NEGATIVE,ANGER
'Μια κοπέλα μαχαιρώθηκε την ώρα που πήγαινε στη δουλειά της στην Ερμού σε ένα σημείο που βρίσκεται τόσος κόσμος καθημερινά',NEGATIVE,SADNESS
'Οι άνδρες είναι ΑΝΘΡΩΠΟΙ',NEGATIVE,ANGER
'Τα παιδιά είναι ΑΝΘΡΩΠΟΙ',NEGATIVE,ANGER
'μοιράζει τη σάπια ηθική στους πολίτες που τους κάνει να έχουνε σάπια θέλω και κριτήρια',NEGATIVE,DISGUST
'Τη γυναίκα τη λατρεύουμε μωρέ μαλάκες δεν τη δερνουμε',NEGATIVE,ANGER
Χειρότερο από τη σιωπή για τον κακοποιητή Λύτρα : η προσπάθεια να στοχοποιηθεί η σύζυγος θύμα',NEGATIVE,DISGUST
Παραληρηματική ομοφοβική δήλωση ανακοίνωση που δεν περιέχει ίχνος νομικού λόγου σκέψης τεκμηρίωσης και δεοντολογίας',NEGATIVE,ANGER
'Τους πειράζει τόσο ο όρος γυναικοκτονια γιατί δεν μπορούν εύκολα να θυματοποιηθούν και να έχουν άλλοθι για τη σκατοσυμπεριφορά τους απέναντι σε γυναίκες',NEGATIVE,DISGUST
'Η ψυχική υγεία είναι δικαίωμα να ξέρεις',NEGATIVE,ANGER
'Είστε τόσο υποκριτές τελικά σύντροφοι;',NEGATIVE,ANGER
'σιωπούν (και) για να μην εκθέσουν τα καταστροφικά κριτήριά τους',NEGATIVE,ANGER
'Οι πρόσφυγες είναι μόνο αρσενικού γένους',NEGATIVE,DISGUST
'Δηλαδή ο Γκλέτσος βλέπει τις γυναίκες ως κρέας που μπορούν να τις εισάγουν για να τις πηδάνε οι Πακιστανοί',NEGATIVE,DISGUST
'MeToo θα κάνετε τίποτα για την περίπτωση εδώ ή είναι επιλεκτική η ευαισθησία σας;',NEGATIVE,ANGER
'Είναι απο τα πιο χυδαία τουϊτ που έχω δει εδώ μέσα',NEGATIVE,DISGUST
'όσο και αν δε θέλουμε να το δεχόμαστε ειδικά μετά απο την εμφάνιση του Metoo ΕΧΟΥΜΕ ΚΑΙ ΣΗΜΕΡΑ τετοιες μανάδες',NEGATIVE,DISGUST
'παρά όλες τις κατηγoρίες και την αποδεδειγμένη ενοχή δεν μπήκε φυλακή',NEGATIVE,ANGER
'Τι έχεις ακούσει να λέει ο μπαμπάς σου στη μανούλα σου',NEGATIVE,SADNESS
'Να βγεί το μικρό να καταγγείλει τον πατέρα της επειδή της είπε ότι η ζωή της θα αλλάξει ριζικά αν κάνει μωρό στα 16',NEGATIVE,DISGUST
'Η Μπεκατώρου δεν έφερε μόνο ολυμπιακό μετάλλιο',POSITIVE,JOY
'Me too',NEUTRAL,NO-EMOTION
'Όπου συμφέρει πειράζουν',NEGATIVE,ANGER
'αν μαστουρώνετε να κάνετε απεξάρτηση',NEGATIVE,ANGER
'Το ψέμα έχει γίνει η δεύτερη φύση τους σε όποια ηλικία και αν βρίσκονται',NEGATIVE,DISGUST
'Πολύ σωστά τα λες μωράκι',POSITIVE,JOY
'που οργανώνουν όλες αυτές τις υπερβολές',NEGATIVE,DISGUST
'Μόνο τον βιασμό τον μετέφεραν στο 2024 για να γίνει σύνδεση με metoo κλπ',NEGATIVE,ANGER
'αλλά επί της δικαιοσύνης η εμπειρία μας δείχνει ότι πλούσιους/ισχυρούς άντρες δεν μπορεί να ακουμπήσει',NEGATIVE,ANGER
'Τι εννοείτε;',NEUTRAL,SURPRISE
'Όχι δεν αυξήθηκαν ξαφνικά τα κρούσματα έμφυλης βίας τις τελευταίες ημέρες',NEGATIVE,ANGER
'Δε μας φτάνουν τα λαθροσκατά',NEGATIVE,ANGER
'κάπου έχουν βάλει τα πανό που γράφει δικαιοσύνη και τώρα δεν τα βρίσκουν αλλιώς θα κατέβαιναν να διαδηλώσουν',NEGATIVE,ANGER
'Η υποκρισία στο κόκκινο',NEGATIVE,ANGER
'αλλά μάλλον η πατριαρχία θα φταίει',NEGATIVE,ANGER
'Για 10ετίες η ελληνική κοινωνία λυντσάρει κόσμο αλλά που τα έμαθαν τα παιδιά;',NEGATIVE,ANGER
'Περίεργο να αισθάνεσαι ότι αυτοί που προώθησαν το κίνημα αυτό δεν ενδιαφέρονται καθόλου για τα θύματα που εκπροσωπεί το ίδιο το κίνημα',NEGATIVE,SADNESS
'να φέρουμε και τις πουτάνες τους',NEGATIVE,ANGER
'Αλλάξτε μυαλά',NEGATIVE,ANGER
'Ο πιλότος σκότωσε τη γυναίκα του',NEGATIVE,DISGUST
'Με τις γυναίκες τα έχετε',NEGATIVE,ANGER
'Και αφού ο σεβασμός δεν επιβάλλεται αλλά εμπνέεται ας φροντίσουμε να τα εμπνεύσουμε σεβασμό με τη στάση ζωής και τη συμπεριφορά μας',POSITIVE,JOY
'Μετάφραση: Την είχε βγάλει η μάνα της στο κλαρί',NEGATIVE,DISGUST
'MeToo: Οι Δημοσιογράφοι Χωρίς Σύνορα ζητούν από τα κράτη να προστατεύουν τους δημοσιογράφους που ασχολούνται με τα δικαιώματα των γυναικών',POSITIVE,JOY
'Ξέχασα έχουν το ίδιο αφεντικό',NEGATIVE,ANGER
'Κάπου εδώ αξίζει να πούμε πως αν απλά τσακώθηκαν και τον κατήγγειλε για σπάσιμο είναι χοντρή μαλακία',NEGATIVE,DISGUST
'Ίσως οι γυναίκες που αισθάνονται έστω και από αμηχανία την ανάγκη να χασκογελάσουν με τέτοιους ανεκδιήγητους σχολιασμούς να έχουν ακούσει για το κίνημα metoo',NEGATIVE,ANGER
Δουλευόμαστε;,NEGATIVE,ANGER
'Θέλουν βαθιά μέσα τους να σωθούν αλλά νικάει ο φόβος από τις απειλές',NEGATIVE,FEAR
'Όταν εμείς (κάναμε ότι δεν) βλέπαμε τους Πακιστανούς να απλώνουν τα σκυλοτόμαρα να στεγνώνουν στα μπαλκόνια στη Δροσοπούλου και να εξαφανίζουν όλα τα αδέσποτα σε 2 εβδομάδες',NEGATIVE,ANGER
'Η ταραχή και ο φόβος που βιώνουμε εμείς κάθε φορά που τον ακούμε να βρίζει και να κοπανάει πράγματα που καταγγέλεται?',NEGATIVE,FEAR
'ΛΕΩ ΕΓΩ ΤΩΡΑ ΙΣΩΣ',NEGATIVE,ANGER
'Εγώ αδερφή μου δεν σε πιστεύω',NEGATIVE,ANGER
'Σας πονάει να ακούτε για ισότητα για γυναικεια παρενόχληση για το MeToo  και ο όρος γυναικοκτονία',NEGATIVE,ANGER
'κάτι φασιστακια με υστερική φωνή διαλαλούν ότι είναι δασκάλες',NEGATIVE,ANGER
'Ο νόμος πρέπει να είναι αυστηρός για όλους',NEGATIVE,ANGER
'Η ΜΟΝΗ ΤΟΥΣ ΑΓΩΝΙΑ ΕΙΝΑΙ ΠΟΥ ΟΥΡΛΙΑΖΟΥΝ ΚΑΙ ΕΤΣΙ ΓΕΙΤΟΝΕΣ ΜΠΟΡΕΙ ΝΑ ΞΥΠΝΗΣΟΥΝ ΚΑΙ ΝΑ ΜΗΝ ΠΡΟΛΑΒΟΥΝ ΝΑ ΞΕΚΑΥΛΩΣΟΥΝ ΣΤΑ ΒΙΑΣΜΕΝΑ ΚΟΡΜΙΑ',NEGATIVE,ANGER
'Προωθείτε το body shaming μανδάμ',NEGATIVE,DISGUST
'Και να μην ξεχνάμε πως για την αρχική φυλάκιση του Τζούλιαν Ασάνζ χρησιμοποιήθηκαν δύο σουηδέζικα τανάκια meToo που κατήγγειλαν βιασμό',NEGATIVE,ANGER
'τι θα διαβάζαμε εδώ μέσα απο τα τμήματα δικαιωμάτων αριστερών οργανώσεων',NEGATIVE,ANGER
'Ή εγώ ή αυτός φέρεται να διεμήνυσε στον πρόεδρο του ΣΥΡΙΖΑ η ολυμπιονίκης',NEUTRAL,NO-EMOTION
'Πες μας λίγο για το ήθος σου κ. Μαυρογιάννη',NEGATIVE,ANGER
'Αλλά για εμάς είναι άλλη μια Κυριακή μεσημέρι',NEGATIVE,SADNESS
'Μια διαγραφή για τα μάτια του κόσμου',NEGATIVE,ANGER
'Αρχικά ο Γαβαλάς και ο Φιλιππίδης δεν μπήκαν μέσα για τον ίδιο λόγο',NEUTRAL,NO-EMOTION
'τι κόλλημα φάγατε με τις λέξεις? ',NEUTRAL,SURPRISE
'Ντροπή σε όλους τους συντελεστές του Σασμού',NEGATIVE,DISGUST
'Βάρα και άλλο',NEGATIVE,SADNESS
'Κατά το ΚΚΕ όποια κοπέλα δεν έχει χρήματα είναι η πουτάνα ή γαμιέται με μεσήλικες για να την ταΐζουν',NEGATIVE,ANGER
'Λειτουργούν ως άλλοθι ας το πει κάποιος στην «αυθεντία» με τρόπο όμως 😉',NEGATIVE,DISGUST
'στην Χαλκίδα αυτή τη φορά',NEUTRAL,NO-EMOTION
'επειδή έχω δει κάποιες ατάκες τα τελευταία χρόνια που ουσιαστικά λένε να μην ασχολούμαστε με τη βία κατά των παιδιών γιατί είναι ακροδεξιά ρητορική ξεκινήστε από αυτό το άρθρο και ελπίζω να μην ξαναδω βλακείες',NEGATIVE,ANGER
'Φωτογραφία από τη μεγαλειώδη συγκέντρωση φεμινιστικών και αριστερών οργανώσεων στην πλατεία Συντάγματος σε ένδειξη αλληλεγγύης στην 33χρονη κοπέλα που μαχαιρώθηκε βασανίστηκε και βιάστηκε στην Ομόνοια όπως προκύπτει από το ρεπορτάζ από 27χρονο Παλαιστίνιο',NEGATIVE,SADNESS
'Όπως σιωπούν και στους καθημερινούς βιασμούς από Αφρικανούς ή Ασιάτες στις γερμανικές πόλεις στις σουηδικές στις νορβηγικές',NEGATIVE,ANGER
'Ενδεικτικό της νοοτροπίας που επικρατεί γενικά στην χώρα',NEGATIVE,ANGER
'το μεροκάματο να πέφτει από το Κόμμα και όλα καλά',NEGATIVE,ANGER
'Να βγω στα δέντρα;',NEGATIVE,SURPRISE
'Μόνο για MeToo είστε',NEGATIVE,DISGUST
'Σήμερα ήταν η πέμπτη φορά που πήρα το 100',NEGATIVE,ANGER
'Της επιτίθεται βάναυσα με κλωτσομπουνίδια',NEGATIVE,ANGER
'Τι σχέση έχει το MeToo κίνημα που έχει να κάνει με την σεξουαλική κακοποίηση γυναικών στον εργασιακό χώρο με αυτό που δείχνεις?',NEGATIVE,ANGER
'Ειρωνικό ε;',NEGATIVE,DISGUST
'Ας μην κρυβόμαστε το metoo το εκμεταλλεύτηκαν δυστυχώς πολλοί',NEGATIVE,SADNESS
'Δεν έφθασαν ποτέ💔',NEGATIVE,SADNESS
'ο Δημήτρης είναι θύμα του ψευτονεοφεμινισμού και MeToo',NEGATIVE,ANGER
'Το σχόλιο της Χρύσας Ρώπα για το κίνημα metoo που κανένας δεν κατάλαβε',NEUTRAL,SURPRISE
'Έχω φίλες και φίλους πολλούς',NEUTRAL,NO-EMOTION
'δεν τα αφήνεις αυτά τα ψόφια',NEGATIVE,ANGER
'Όπου σας παίρνει είστε με το θύμα σούργελα',NEGATIVE,ANGER
'Τεράστιος ο τύπος που παρενοχλήσε μια γυναίκα πάνω σε σκηνή επειδή τραγούδησε σε εκδήλωση του',NEGATIVE,ANGER
'ΕΙΣΑΓΓΕΛΕΑΣ ΑΚΟΥΕΙ;',NEGATIVE,ANGER
'Κλάμα 😭',NEGATIVE,SADNESS
'Καλή όρεξη στα σκουλήκια',NEGATIVE,DISGUST
'Η κατανόηση και η συζήτηση γύρω από αυτόν τον όρο μπορούν να συμβάλλουν στην προώθηση μιας πιο δίκαιης και ευαισθητοποιημένης κοινωνίας',POSITIVE,JOY
'Αν υιοθετηθεί αυτό το κατάπτυστο αποκύημα βρωμερού μυαλού τι δικαστικό προηγούμενο έχει να ανοίξει;',NEGATIVE,DISGUST
'Γονείς έχετε το νου σας',NEGATIVE,FEAR
'Στα αρχίδια τους σας έχουν γραμμένους',NEGATIVE,ANGER
'Η πρεσβεία θα έπρεπε να επικοινωνήσει με τον Δημήτρη να τον ρωτήσει αν αισθάνεται ασφαλής και να προσδιορίσει αν νιώθει ότι κινδυνεύει η ψυχική ή η σωματική του ακεραιότητα από ποιον επίσης και να τον παραπέμψει σε υπηρεσίες φροντίδας άμεσα',NEGATIVE,ANGER
'θα το πω εγώ: τα λέγαμε εδώ και καιρό και έχετε αρχίσει και τρώτε απανωτές φάπες με τις ψευδείς καταγγελίες που αποκαλύπτονται κάθε μέρα',NEGATIVE,ANGER
'Μην είστε επιλεκτικοί και εδώ ρε γαμώτο',NEGATIVE,ANGER
'Ο βιασμός είναι κάτι που ζεις μαζί του μια ζωή',NEGATIVE,SADNESS
'Θέλουμε πίσω τις γυναίκες μας',NEGATIVE,SADNESS
'Οι παιδόφιλοι γαμιάδες του Μητσοτάκη τα κολλητάρια οι σύμβουλοι και οι φίλοι Λιγνάκης Γεωργιάδης',NEGATIVE,DISGUST
'Φασίστας γυναικοκτόνος ομοφοβικός ο Αλβανός δράστης',NEGATIVE,ANGER
'Αυξήθηκαν τα ανοιχτά στόματα',NEGATIVE,SURPRISE
'Το Star θα πρέπει να απαντήσει πως αποδέχεται να έχει εν έτει 2024 μια τέτοια παρουσιάστρια που έχει ασκήσει βία',NEGATIVE,DISGUST
'Τα γυναικόπαιδά τους που τα άφησαν;',NEGATIVE,ANGER
'πλυντήριο γενοκτόνων και γυναικοκτόνων',NEGATIVE,ANGER
'επειδή κάποιος άρρωστος τη θεωρούσε κτήμα του',NEGATIVE,ANGER
'όχι να το κάνετε τουμπεκί',NEGATIVE,ANGER
'Επιτέλους κάτι πρέπει να γίνει με όλες αυτές τις ανδροκτονίες και τα περιστατικά έμφυλης βίας κατά ανδρών και αγοριών από γυναίκες',NEGATIVE,ANGER
'Ντροπή και μόνο ντροπή',NEGATIVE,DISGUST
'Τώρα που σκάει σκάνδαλο παιδεραστίας ούτε ένα σχόλιο γιατί ρε μάγκες?',NEGATIVE,ANGER
'Αλλά συνέχισε το victim blaming από το ρόζ συννεφάκι σου',NEGATIVE,ANGER
'Γιατί το metoo και το metoogr έχουν κάνει γαργάρα την κακοποίηση των γυναικών που δρομολογείται',NEGATIVE,ANGER
'Το κίνημα metoo όλοι το ξέρουμε ότι είναι πολύ επιλεκτικό',NEGATIVE,DISGUST
'Μια γυναίκα τόσο δυνατή ανάμεσα σε Ψινάκιδες',POSITIVE,JOY
'Απόψε είδαμε άλλη μία περίπτωση όπου γίνεται κακή χρήση του metoo από κάποια πρόσωπα',NEGATIVE,ANGER
'Όπως σιωπούν και εδώ',NEGATIVE,ANGER
'Εάν τις δηλώσεις Κουτσούμπα τις έκανε οποιοσδήποτε δεξιός σήμερα η Αθήνα δεν θα έβγαζε καπνούς λόγω Τσικνοπέμπτης αλλά λόγω καταστροφών',NEGATIVE,ANGER
'To Metoo είναι για τα θύματα',POSITIVE,JOY
'ΦΤΟΥ ΣΑΣ MeToo',NEGATIVE,ANGER
'Δεν έχουν ξεβλαχέψει και κάνουν καλιστεία με γυναίκες όχι σαν την Ευρώπη πχια',NEGATIVE,ANGER
'Γιατί ποτέ δεν είχε τη θέση της στο metoo;',NEUTRAL,SURPRISE
'Περιμένω διαδήλωση των MeToo για τέτοια περιστατικά',NEGATIVE,ANGER
'Τόσο metoo και δεν έμαθαν ότι το θύμα μπορεί και δικαιούται να είναι τρομοκρατημένο',NEGATIVE,ANGER
'Νομιμοποιείτε το εμπόριο μήτρας και παιδιών',NEGATIVE,DISGUST
'Αν δεν εξυπηρετεί το ιδεολογικό αφήγημα δεν μας νοιάζει',NEGATIVE,ANGER
'Είναι βαθύ τραύμα στην ατομική ελευθερια είναι ΕΓΚΛΗΜΑ',NEGATIVE,ANGER
'Το λέω συχνά στη δουλειά μου',NEUTRAL,NO-EMOTION
'Ο κάθε εγκληματίας  Μητσοτάκης και η συμμορία του δεν θα έκαναν τίποτε αν υπήρχαν άξιοι δικαστές',NEGATIVE,ANGER
'Ένα έκτρωμα της φύσης η τρανς διοργάωση των Γάλλων σε ιδεολογίαέναρξηχρώματα κουλτούρα στα αθλήματα',NEGATIVE,DISGUST
'Μιλήστε μου μετά για ισότητα των γυναικώνγια metoo κλπ',NEGATIVE,ANGER
'Η Φαίη Ζαφειράκου έσπασε στο ξύλο τον άνδρα της έσπασε το δωμάτιο του ξενοδοχείου και ούσα προφανώς υπό την επήρεια αλκοόλ οδηγήθηκε στο αυτόφωρο',NEGATIVE,DISGUST
'αλλά αυτό δεν είναι τέχνη για εμένα',NEGATIVE,ANGER
'Είμαστε με την Συνατσάκη',POSITIVE,JOY
'Η οικογένεια είναι θεμέλιος λίθος η ραχοκοκκαλιά της κοινωνίας',POSITIVE,JOY
'Η πλειοψηφία της επαρχίας και δε της Κρήτης έτσι σκέφτεται',NEGATIVE,DISGUST
'Καλώς ή κακώς τα ΜΚΔ είναι μέσα καταγγελιών',NEGATIVE,ANGER
'Γύρνα πίσω',NEGATIVE,SADNESS
Ήρθαν,NEUTRAL,NO-EMOTION
'Κοίταξε τώρα αν δείτε το χέρι του Λαγούτη την κρατάει από την κοιλιά',NEUTRAL,NO-EMOTION
'Είδατε κανένα ποστ από τις MeToo του τουίτερ για την  ανδροκτονία αυτή (γιατί τώρα μπήκα να μην ψάχνω) ή δεν τρέχει τίποτα αφού οι άντρες είναι γουρούνια;',NEGATIVE,ANGER
'Η μόνη που στάθηκε στο ύψος των περιστάσεων είναι η εκπομπή της Μπέττυ Μαγγίρα που τα είπε τα πράγματα με το όνομα τους',POSITIVE,JOY
'Απευθύνσου στο MeToo μην το κρατάς μέσα σου',NEGATIVE,SADNESS
'Για ποιό λόγο τα κανάλια παρουσιάζουν το πρόσωπο του θύματος και κρύβουν το πρόσωπο του κατηγορούμενου για βιασμό ηθοποιού τον οποίο μάλιστα τον αναφέρουν σαν σκηνοθέτη? ',NEGATIVE,ANGER
'Οι MeToo δεν είδαν απόπειρα γυναικοκτονίας στην Ερμού',NEGATIVE,ANGER
'Έχουμε πιάσει πάτο',NEGATIVE,DISGUST
'Ποια μωρέ;',NEUTRAL,SURPRISE
'Στην πραγματικότητα όμως είμαστε όλες μόνες μας',NEGATIVE,SADNESS
'Και κλάμα οι MeToo',NEGATIVE,SADNESS
'όλοι οι προπονητές από ότι ακούγεται παρενοχλείτε σεξουαλικά',NEGATIVE,ANGER
'εκτός αν πρόκειται για αλλοδαπούς δράστες και ειδικότερα λαθρομετανάστες',NEGATIVE,ANGER
'Από ποιά ιστοσελίδα ενημερώνεσαι για το τι διεκδικούν οι φεμινίστριες;',NEUTRAL,NO-EMOTION
'Μαζέψτε τους έχει παραγίνει το κακό',NEGATIVE,ANGER
'Την φιλοξένησε ένας συμπατριώτης της',NEUTRAL,NO-EMOTION
'Και κατά αρχάς τι σημαίνει ο όρος γυναίκα;',NEGATIVE,ANGER
'Μετρηθήκαμε και βρεθήκαμε λιγότεροι αδέρφια μου',NEGATIVE,SADNESS
Συμπέρασμα;,NEUTRAL,NO-EMOTION
'Στη γειτονιά μου ερχόμενος από τη βόλτα με το σκύλο είδα τέσσερις έφηβες που η μία ήταν με μίνι ξεκάλτσωτη',NEUTRAL,SURPRISE
'Κάποιοι θεωρούν υπερβολική την τιμωρία των 30 χρόνων για τον πρώην πρόεδρο της ισπανικής ομοσπονδίας για το φιλί στην παίκτρια χωρίς την θέληση της',NEUTRAL,NO-EMOTION
'Μωρέ μαλάκες τι πίνετε και σας πειράζει;',NEGATIVE,ANGER
'Τα σχόλια κάτω απο αυτή την ανάρτηση δείχνουν ξεκάθαρα σε τι κατάσταση βρίσκεται η ελληνική κοινωνία',NEGATIVE,DISGUST
'Εγώ ξέρω ότι εμφανίστηκε μετά από 20 χρόνια και για χάρη της ξεκίνησε ένα κίνημα το MeToo',NEUTRAL,NO-EMOTION
'Το μπλοκαρα το σκατοφασιστάκι',NEGATIVE,ANGER
'Γελοία μισανθρωπάκια',NEGATIVE,DISGUST
'έχουν συγκεντρωθεί 776e από τα 5000e που απαιτούνται για τα δικαστικά έξοδα του ανήλικου θύματος sex trafficking στον Κολωνό',NEGATIVE,SADNESS
Ανησυχώ🤭🤭🤭,POSITIVE,JOY
'Οι εξελίξεις που συμβαίνουν είναι πολύ σοβαρές και πλέον παύει να έχει χιούμορ το όλο θέμα',NEGATIVE,FEAR
'Ζήτω η Φρίμπα',POSITIVE,JOY
'Δηλαδή αν ήταν υπάλληλος δε θα πείραζε να της συμπεριφέρεται έτσι?',NEGATIVE,ANGER
'Δεν αυξήθηκαν τα περιστατικά αλλά αυξήθηκαν οι καταγγελίες',POSITIVE,JOY
'Μάλιστα φαίνεται να ανήκει στο στενό περιβάλλον της οικογένειας',NEGATIVE,DISGUST
'ΣΚΟΥΠΙΔΙΑ ',NEGATIVE,DISGUST
'Τόσος ντόρος στα κανάλια',NEGATIVE,SURPRISE
'Πότε τα ευρωπαϊκά κράτη θα αποφασίσουν από κοινού να κλείσουν τα σύνορα;',NEGATIVE,ANGER
'Της επιτέθηκαν τα σκουλήκια γιατί απλά ήταν γυναίκα',NEGATIVE,DISGUST
'Πόσες μάνες χτυπάνε τις κόρες τους????',NEGATIVE,ANGER
'Τι λένε οι metoo;',NEUTRAL,NO-EMOTION
'Το metoo ξεχάστηκε',NEGATIVE,SADNESS
'Γιατί δεν πάνε σε μουσουλμανικές χώρες να κάνουν καμία διαδήλωση?',NEGATIVE,ANGER
'Τι πρέπει να κάνεις πρίν για να το προστατέψεις από τις ψευδείς καταγγελίες;',NEGATIVE,FEAR
